"Nom de la Station","QUAQTAQ A"
"Province","QUÉBEC"
"Latitude","61,05"
"Longitude","-69,62"
"Altitude","32,30"
"ID climatologique","7116271"
"ID de l'OMM",""
"ID de TC","YHA"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"E","Valeur estimée"
"M","Données manquantes"
"ND","Non disponible"

"Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2016-06-01 00:00","2016","06","01","00:00"
"2016-06-01 01:00","2016","06","01","01:00"
"2016-06-01 02:00","2016","06","01","02:00"
"2016-06-01 03:00","2016","06","01","03:00"
"2016-06-01 04:00","2016","06","01","04:00"
"2016-06-01 05:00","2016","06","01","05:00"
"2016-06-01 06:00","2016","06","01","06:00"
"2016-06-01 07:00","2016","06","01","07:00","-1,9","","-3,9","","86","","","","","","24,1","","102,22","","","","","","Généralement nuageux"
"2016-06-01 08:00","2016","06","01","08:00","-1,1","","-3,3","","85","","","","","","24,1","","102,28","","","","","","ND"
"2016-06-01 09:00","2016","06","01","09:00","-0,5","","-3,5","","80","","","","","","24,1","","102,34","","","","","","ND"
"2016-06-01 10:00","2016","06","01","10:00","0,1","","-4,2","","73","","","","","","24,1","","102,40","","","","","","Dégagé"
"2016-06-01 11:00","2016","06","01","11:00","0,8","","-3,7","","72","","","","","","24,1","","102,43","","","","","","ND"
"2016-06-01 12:00","2016","06","01","12:00","0,5","","-4,7","","68","","","","","","24,1","","102,46","","","","","","ND"
