#  STANDARD TIMES OF SOLAR RISE/SET
#  FOR  User defined location, 2016
#
#     Longitude = 74� 40.02' West,  Latitude =    62� 9' North
#     
#     Time zone is STD, -5 UTC 
#     Correction from standard meridian :  -1.33 minutes
#
#     ******************************************
#     *** Add one hour to listed times when  ***
#     *** Daylight Saving Time is in effect. ***
#     ******************************************
year;month;day;sunrise;sunset
2016;Jan;1;9:22;14:43
2016;Jan;2;9:21;14:44
2016;Jan;3;9:20;14:46
2016;Jan;4;9:19;14:48
2016;Jan;5;9:18;14:50
2016;Jan;6;9:17;14:52
2016;Jan;7;9:16;14:54
2016;Jan;8;9:15;14:56
2016;Jan;9;9:14;14:58
2016;Jan;10;9:12;15:00
2016;Jan;11;9:11;15:03
2016;Jan;12;9:09;15:05
2016;Jan;13;9:07;15:08
2016;Jan;14;9:06;15:10
2016;Jan;15;9:04;15:13
2016;Jan;16;9:02;15:15
2016;Jan;17;9:00;15:18
2016;Jan;18;8:58;15:20
2016;Jan;19;8:56;15:23
2016;Jan;20;8:54;15:26
2016;Jan;21;8:52;15:29
2016;Jan;22;8:50;15:31
2016;Jan;23;8:47;15:34
2016;Jan;24;8:45;15:37
2016;Jan;25;8:43;15:40
2016;Jan;26;8:40;15:43
2016;Jan;27;8:38;15:46
2016;Jan;28;8:35;15:48
2016;Jan;29;8:33;15:51
2016;Jan;30;8:30;15:54
2016;Jan;31;8:28;15:57
2016;Feb;1;8:25;16:00
2016;Feb;2;8:22;16:03
2016;Feb;3;8:20;16:06
2016;Feb;4;8:17;16:09
2016;Feb;5;8:14;16:12
2016;Feb;6;8:12;16:15
2016;Feb;7;8:09;16:18
2016;Feb;8;8:06;16:21
2016;Feb;9;8:03;16:24
2016;Feb;10;8:00;16:26
2016;Feb;11;7:57;16:29
2016;Feb;12;7:54;16:32
2016;Feb;13;7:51;16:35
2016;Feb;14;7:49;16:38
2016;Feb;15;7:46;16:41
2016;Feb;16;7:43;16:44
2016;Feb;17;7:40;16:47
2016;Feb;18;7:37;16:50
2016;Feb;19;7:34;16:53
2016;Feb;20;7:30;16:55
2016;Feb;21;7:27;16:58
2016;Feb;22;7:24;17:01
2016;Feb;23;7:21;17:04
2016;Feb;24;7:18;17:07
2016;Feb;25;7:15;17:10
2016;Feb;26;7:12;17:12
2016;Feb;27;7:09;17:15
2016;Feb;28;7:06;17:18
2016;Feb;29;7:02;17:21
2016;Mar;1;6:59;17:24
2016;Mar;2;6:56;17:26
2016;Mar;3;6:53;17:29
2016;Mar;4;6:50;17:32
2016;Mar;5;6:47;17:35
2016;Mar;6;6:43;17:38
2016;Mar;7;6:40;17:40
2016;Mar;8;6:37;17:43
2016;Mar;9;6:34;17:46
2016;Mar;10;6:30;17:48
2016;Mar;11;6:27;17:51
2016;Mar;12;6:24;17:54
2016;Mar;13;6:21;17:57
2016;Mar;14;6:18;17:59
2016;Mar;15;6:14;18:02
2016;Mar;16;6:11;18:05
2016;Mar;17;6:08;18:07
2016;Mar;18;6:05;18:10
2016;Mar;19;6:01;18:13
2016;Mar;20;5:58;18:15
2016;Mar;21;5:55;18:18
2016;Mar;22;5:51;18:21
2016;Mar;23;5:48;18:23
2016;Mar;24;5:45;18:26
2016;Mar;25;5:42;18:29
2016;Mar;26;5:38;18:32
2016;Mar;27;5:35;18:34
2016;Mar;28;5:32;18:37
2016;Mar;29;5:29;18:40
2016;Mar;30;5:25;18:42
2016;Mar;31;5:22;18:45
2016;Apr;1;5:19;18:48
2016;Apr;2;5:16;18:50
2016;Apr;3;5:12;18:53
2016;Apr;4;5:09;18:56
2016;Apr;5;5:06;18:58
2016;Apr;6;5:02;19:01
2016;Apr;7;4:59;19:04
2016;Apr;8;4:56;19:06
2016;Apr;9;4:53;19:09
2016;Apr;10;4:50;19:12
2016;Apr;11;4:46;19:15
2016;Apr;12;4:43;19:17
2016;Apr;13;4:40;19:20
2016;Apr;14;4:37;19:23
2016;Apr;15;4:33;19:26
2016;Apr;16;4:30;19:28
2016;Apr;17;4:27;19:31
2016;Apr;18;4:24;19:34
2016;Apr;19;4:21;19:37
2016;Apr;20;4:18;19:39
2016;Apr;21;4:14;19:42
2016;Apr;22;4:11;19:45
2016;Apr;23;4:08;19:48
2016;Apr;24;4:05;19:50
2016;Apr;25;4:02;19:53
2016;Apr;26;3:59;19:56
2016;Apr;27;3:56;19:59
2016;Apr;28;3:53;20:02
2016;Apr;29;3:50;20:04
2016;Apr;30;3:47;20:07
2016;May;1;3:44;20:10
2016;May;2;3:41;20:13
2016;May;3;3:38;20:15
2016;May;4;3:35;20:18
2016;May;5;3:32;20:21
2016;May;6;3:29;20:24
2016;May;7;3:26;20:27
2016;May;8;3:23;20:29
2016;May;9;3:20;20:32
2016;May;10;3:17;20:35
2016;May;11;3:14;20:38
2016;May;12;3:12;20:40
2016;May;13;3:09;20:43
2016;May;14;3:06;20:46
2016;May;15;3:04;20:49
2016;May;16;3:01;20:51
2016;May;17;2:58;20:54
2016;May;18;2:56;20:57
2016;May;19;2:53;20:59
2016;May;20;2:51;21:02
2016;May;21;2:48;21:04
2016;May;22;2:46;21:07
2016;May;23;2:43;21:09
2016;May;24;2:41;21:12
2016;May;25;2:39;21:14
2016;May;26;2:37;21:17
2016;May;27;2:35;21:19
2016;May;28;2:32;21:21
2016;May;29;2:30;21:24
2016;May;30;2:28;21:26
2016;May;31;2:27;21:28
2016;Jun;1;2:25;21:30
2016;Jun;2;2:23;21:32
2016;Jun;3;2:21;21:34
2016;Jun;4;2:20;21:36
2016;Jun;5;2:18;21:38
2016;Jun;6;2:17;21:39
2016;Jun;7;2:16;21:41
2016;Jun;8;2:14;21:43
2016;Jun;9;2:13;21:44
2016;Jun;10;2:12;21:45
2016;Jun;11;2:11;21:47
2016;Jun;12;2:10;21:48
2016;Jun;13;2:10;21:49
2016;Jun;14;2:09;21:50
2016;Jun;15;2:09;21:51
2016;Jun;16;2:08;21:51
2016;Jun;17;2:08;21:52
2016;Jun;18;2:08;21:52
2016;Jun;19;2:08;21:53
2016;Jun;20;2:08;21:53
2016;Jun;21;2:08;21:53
2016;Jun;22;2:08;21:53
2016;Jun;23;2:09;21:53
2016;Jun;24;2:09;21:53
2016;Jun;25;2:10;21:52
2016;Jun;26;2:11;21:52
2016;Jun;27;2:12;21:51
2016;Jun;28;2:13;21:51
2016;Jun;29;2:14;21:50
2016;Jun;30;2:15;21:49
2016;Jul;1;2:16;21:48
2016;Jul;2;2:18;21:47
2016;Jul;3;2:19;21:46
2016;Jul;4;2:21;21:45
2016;Jul;5;2:22;21:43
2016;Jul;6;2:24;21:42
2016;Jul;7;2:26;21:40
2016;Jul;8;2:28;21:39
2016;Jul;9;2:30;21:37
2016;Jul;10;2:32;21:35
2016;Jul;11;2:34;21:33
2016;Jul;12;2:36;21:31
2016;Jul;13;2:38;21:29
2016;Jul;14;2:40;21:27
2016;Jul;15;2:43;21:25
2016;Jul;16;2:45;21:23
2016;Jul;17;2:47;21:21
2016;Jul;18;2:50;21:18
2016;Jul;19;2:52;21:16
2016;Jul;20;2:55;21:14
2016;Jul;21;2:57;21:11
2016;Jul;22;3:00;21:09
2016;Jul;23;3:02;21:06
2016;Jul;24;3:05;21:04
2016;Jul;25;3:07;21:01
2016;Jul;26;3:10;20:58
2016;Jul;27;3:13;20:56
2016;Jul;28;3:15;20:53
2016;Jul;29;3:18;20:50
2016;Jul;30;3:21;20:47
2016;Jul;31;3:23;20:45
2016;Aug;1;3:26;20:42
2016;Aug;2;3:29;20:39
2016;Aug;3;3:32;20:36
2016;Aug;4;3:34;20:33
2016;Aug;5;3:37;20:30
2016;Aug;6;3:40;20:27
2016;Aug;7;3:42;20:24
2016;Aug;8;3:45;20:21
2016;Aug;9;3:48;20:18
2016;Aug;10;3:51;20:15
2016;Aug;11;3:53;20:12
2016;Aug;12;3:56;20:09
2016;Aug;13;3:59;20:06
2016;Aug;14;4:01;20:03
2016;Aug;15;4:04;20:00
2016;Aug;16;4:07;19:57
2016;Aug;17;4:09;19:54
2016;Aug;18;4:12;19:51
2016;Aug;19;4:15;19:48
2016;Aug;20;4:18;19:44
2016;Aug;21;4:20;19:41
2016;Aug;22;4:23;19:38
2016;Aug;23;4:26;19:35
2016;Aug;24;4:28;19:32
2016;Aug;25;4:31;19:29
2016;Aug;26;4:34;19:25
2016;Aug;27;4:36;19:22
2016;Aug;28;4:39;19:19
2016;Aug;29;4:41;19:16
2016;Aug;30;4:44;19:12
2016;Aug;31;4:47;19:09
2016;Sep;1;4:49;19:06
2016;Sep;2;4:52;19:03
2016;Sep;3;4:55;18:59
2016;Sep;4;4:57;18:56
2016;Sep;5;5:00;18:53
2016;Sep;6;5:02;18:50
2016;Sep;7;5:05;18:46
2016;Sep;8;5:07;18:43
2016;Sep;9;5:10;18:40
2016;Sep;10;5:13;18:37
2016;Sep;11;5:15;18:33
2016;Sep;12;5:18;18:30
2016;Sep;13;5:20;18:27
2016;Sep;14;5:23;18:23
2016;Sep;15;5:26;18:20
2016;Sep;16;5:28;18:17
2016;Sep;17;5:31;18:14
2016;Sep;18;5:33;18:10
2016;Sep;19;5:36;18:07
2016;Sep;20;5:38;18:04
2016;Sep;21;5:41;18:01
2016;Sep;22;5:44;17:57
2016;Sep;23;5:46;17:54
2016;Sep;24;5:49;17:51
2016;Sep;25;5:51;17:47
2016;Sep;26;5:54;17:44
2016;Sep;27;5:57;17:41
2016;Sep;28;5:59;17:38
2016;Sep;29;6:02;17:34
2016;Sep;30;6:04;17:31
2016;Oct;1;6:07;17:28
2016;Oct;2;6:10;17:25
2016;Oct;3;6:12;17:21
2016;Oct;4;6:15;17:18
2016;Oct;5;6:18;17:15
2016;Oct;6;6:20;17:12
2016;Oct;7;6:23;17:09
2016;Oct;8;6:26;17:05
2016;Oct;9;6:28;17:02
2016;Oct;10;6:31;16:59
2016;Oct;11;6:34;16:56
2016;Oct;12;6:36;16:53
2016;Oct;13;6:39;16:49
2016;Oct;14;6:42;16:46
2016;Oct;15;6:44;16:43
2016;Oct;16;6:47;16:40
2016;Oct;17;6:50;16:37
2016;Oct;18;6:53;16:34
2016;Oct;19;6:55;16:31
2016;Oct;20;6:58;16:28
2016;Oct;21;7:01;16:25
2016;Oct;22;7:04;16:21
2016;Oct;23;7:06;16:18
2016;Oct;24;7:09;16:15
2016;Oct;25;7:12;16:12
2016;Oct;26;7:15;16:09
2016;Oct;27;7:18;16:06
2016;Oct;28;7:20;16:03
2016;Oct;29;7:23;16:00
2016;Oct;30;7:26;15:58
2016;Oct;31;7:29;15:55
2016;Nov;1;7:32;15:52
2016;Nov;2;7:35;15:49
2016;Nov;3;7:38;15:46
2016;Nov;4;7:40;15:43
2016;Nov;5;7:43;15:41
2016;Nov;6;7:46;15:38
2016;Nov;7;7:49;15:35
2016;Nov;8;7:52;15:32
2016;Nov;9;7:55;15:30
2016;Nov;10;7:58;15:27
2016;Nov;11;8:00;15:24
2016;Nov;12;8:03;15:22
2016;Nov;13;8:06;15:19
2016;Nov;14;8:09;15:17
2016;Nov;15;8:12;15:14
2016;Nov;16;8:14;15:12
2016;Nov;17;8:17;15:10
2016;Nov;18;8:20;15:07
2016;Nov;19;8:23;15:05
2016;Nov;20;8:26;15:03
2016;Nov;21;8:28;15:01
2016;Nov;22;8:31;14:59
2016;Nov;23;8:34;14:56
2016;Nov;24;8:36;14:54
2016;Nov;25;8:39;14:53
2016;Nov;26;8:41;14:51
2016;Nov;27;8:44;14:49
2016;Nov;28;8:46;14:47
2016;Nov;29;8:49;14:45
2016;Nov;30;8:51;14:44
2016;Dec;1;8:53;14:42
2016;Dec;2;8:56;14:41
2016;Dec;3;8:58;14:39
2016;Dec;4;9:00;14:38
2016;Dec;5;9:02;14:37
2016;Dec;6;9:04;14:36
2016;Dec;7;9:06;14:35
2016;Dec;8;9:08;14:34
2016;Dec;9;9:09;14:33
2016;Dec;10;9:11;14:32
2016;Dec;11;9:12;14:32
2016;Dec;12;9:14;14:31
2016;Dec;13;9:15;14:31
2016;Dec;14;9:17;14:31
2016;Dec;15;9:18;14:30
2016;Dec;16;9:19;14:30
2016;Dec;17;9:20;14:30
2016;Dec;18;9:21;14:30
2016;Dec;19;9:21;14:31
2016;Dec;20;9:22;14:31
2016;Dec;21;9:23;14:32
2016;Dec;22;9:23;14:32
2016;Dec;23;9:23;14:33
2016;Dec;24;9:24;14:34
2016;Dec;25;9:24;14:35
2016;Dec;26;9:24;14:36
2016;Dec;27;9:23;14:37
2016;Dec;28;9:23;14:38
2016;Dec;29;9:23;14:39
2016;Dec;30;9:22;14:41
2016;Dec;31;9:22;14:42
