#  STANDARD TIMES OF SOLAR RISE/SET
#  FOR  User defined location, 2018
#
#     Longitude = 74� 40.02' West,  Latitude =    62� 9' North
#     
#     Time zone is STD, -5 UTC 
#     Correction from standard meridian :  -1.33 minutes
#
#     ******************************************
#     *** Add one hour to listed times when  ***
#     *** Daylight Saving Time is in effect. ***
#     ******************************************
year;month;day;sunrise;sunset
2018;Jan;1;9:21;14:44
2018;Jan;2;9:21;14:45
2018;Jan;3;9:20;14:47
2018;Jan;4;9:19;14:49
2018;Jan;5;9:18;14:51
2018;Jan;6;9:17;14:53
2018;Jan;7;9:15;14:55
2018;Jan;8;9:14;14:57
2018;Jan;9;9:13;14:59
2018;Jan;10;9:11;15:02
2018;Jan;11;9:10;15:04
2018;Jan;12;9:08;15:06
2018;Jan;13;9:07;15:09
2018;Jan;14;9:05;15:11
2018;Jan;15;9:03;15:14
2018;Jan;16;9:01;15:17
2018;Jan;17;8:59;15:19
2018;Jan;18;8:57;15:22
2018;Jan;19;8:55;15:25
2018;Jan;20;8:53;15:27
2018;Jan;21;8:51;15:30
2018;Jan;22;8:48;15:33
2018;Jan;23;8:46;15:36
2018;Jan;24;8:44;15:38
2018;Jan;25;8:41;15:41
2018;Jan;26;8:39;15:44
2018;Jan;27;8:37;15:47
2018;Jan;28;8:34;15:50
2018;Jan;29;8:32;15:53
2018;Jan;30;8:29;15:56
2018;Jan;31;8:26;15:59
2018;Feb;1;8:24;16:02
2018;Feb;2;8:21;16:05
2018;Feb;3;8:18;16:07
2018;Feb;4;8:16;16:10
2018;Feb;5;8:13;16:13
2018;Feb;6;8:10;16:16
2018;Feb;7;8:07;16:19
2018;Feb;8;8:04;16:22
2018;Feb;9;8:02;16:25
2018;Feb;10;7:59;16:28
2018;Feb;11;7:56;16:31
2018;Feb;12;7:53;16:34
2018;Feb;13;7:50;16:37
2018;Feb;14;7:47;16:40
2018;Feb;15;7:44;16:43
2018;Feb;16;7:41;16:45
2018;Feb;17;7:38;16:48
2018;Feb;18;7:35;16:51
2018;Feb;19;7:32;16:54
2018;Feb;20;7:29;16:57
2018;Feb;21;7:26;17:00
2018;Feb;22;7:23;17:03
2018;Feb;23;7:20;17:05
2018;Feb;24;7:17;17:08
2018;Feb;25;7:13;17:11
2018;Feb;26;7:10;17:14
2018;Feb;27;7:07;17:17
2018;Feb;28;7:04;17:20
2018;Mar;1;7:01;17:22
2018;Mar;2;6:58;17:25
2018;Mar;3;6:54;17:28
2018;Mar;4;6:51;17:31
2018;Mar;5;6:48;17:33
2018;Mar;6;6:45;17:36
2018;Mar;7;6:42;17:39
2018;Mar;8;6:38;17:42
2018;Mar;9;6:35;17:44
2018;Mar;10;6:32;17:47
2018;Mar;11;6:29;17:50
2018;Mar;12;6:26;17:53
2018;Mar;13;6:22;17:55
2018;Mar;14;6:19;17:58
2018;Mar;15;6:16;18:01
2018;Mar;16;6:13;18:03
2018;Mar;17;6:09;18:06
2018;Mar;18;6:06;18:09
2018;Mar;19;6:03;18:11
2018;Mar;20;6:00;18:14
2018;Mar;21;5:56;18:17
2018;Mar;22;5:53;18:19
2018;Mar;23;5:50;18:22
2018;Mar;24;5:46;18:25
2018;Mar;25;5:43;18:28
2018;Mar;26;5:40;18:30
