#  STANDARD TIMES OF SOLAR RISE/SET
#  FOR  User defined location, 2017
#
#     Longitude = 74� 40.02' West,  Latitude =    62� 9' North
#     
#     Time zone is STD, -5 UTC 
#     Correction from standard meridian :  -1.33 minutes
#
#     ******************************************
#     *** Add one hour to listed times when  ***
#     *** Daylight Saving Time is in effect. ***
#     ******************************************
year;month;day;sunrise;sunset
2017;Jan;1;9:21;14:44
2017;Jan;2;9:20;14:46
2017;Jan;3;9:20;14:47
2017;Jan;4;9:19;14:49
2017;Jan;5;9:18;14:51
2017;Jan;6;9:16;14:53
2017;Jan;7;9:15;14:55
2017;Jan;8;9:14;14:58
2017;Jan;9;9:12;15:00
2017;Jan;10;9:11;15:02
2017;Jan;11;9:09;15:05
2017;Jan;12;9:08;15:07
2017;Jan;13;9:06;15:09
2017;Jan;14;9:04;15:12
2017;Jan;15;9:02;15:15
2017;Jan;16;9:01;15:17
2017;Jan;17;8:59;15:20
2017;Jan;18;8:57;15:22
2017;Jan;19;8:54;15:25
2017;Jan;20;8:52;15:28
2017;Jan;21;8:50;15:31
2017;Jan;22;8:48;15:33
2017;Jan;23;8:46;15:36
2017;Jan;24;8:43;15:39
2017;Jan;25;8:41;15:42
2017;Jan;26;8:38;15:45
2017;Jan;27;8:36;15:48
2017;Jan;28;8:33;15:51
2017;Jan;29;8:31;15:54
2017;Jan;30;8:28;15:56
2017;Jan;31;8:26;15:59
2017;Feb;1;8:23;16:02
2017;Feb;2;8:20;16:05
2017;Feb;3;8:18;16:08
2017;Feb;4;8:15;16:11
2017;Feb;5;8:12;16:14
2017;Feb;6;8:09;16:17
2017;Feb;7;8:07;16:20
2017;Feb;8;8:04;16:23
2017;Feb;9;8:01;16:26
2017;Feb;10;7:58;16:29
2017;Feb;11;7:55;16:32
2017;Feb;12;7:52;16:35
2017;Feb;13;7:49;16:37
2017;Feb;14;7:46;16:40
2017;Feb;15;7:43;16:43
2017;Feb;16;7:40;16:46
2017;Feb;17;7:37;16:49
2017;Feb;18;7:34;16:52
2017;Feb;19;7:31;16:55
2017;Feb;20;7:28;16:58
2017;Feb;21;7:25;17:00
