"Nom de la Station","QUAQTAQ A"
"Province","QUÉBEC"
"Opérateur de station opérationnelle","NAV Canada"
"Latitude","61,05"
"Longitude","-69,62"
"Altitude","32,30"
"ID climatologique","7116271"
"ID de l'OMM",""
"ID de TC","YHA"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"E","Valeur estimée"
"M","Données manquantes"
"ND","Non disponible"

"Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2018-10-01 00:00","2018","10","01","00:00"
"2018-10-01 01:00","2018","10","01","01:00"
"2018-10-01 02:00","2018","10","01","02:00"
"2018-10-01 03:00","2018","10","01","03:00"
"2018-10-01 04:00","2018","10","01","04:00"
"2018-10-01 05:00","2018","10","01","05:00"
"2018-10-01 06:00","2018","10","01","06:00"
"2018-10-01 07:00","2018","10","01","07:00","-0,6","","-2,7","","86","","","","","","24,1","","100,58","","","","","","Nuageux"
"2018-10-01 08:00","2018","10","01","08:00","-0,5","","-2,7","","85","","","","","","24,1","","100,64","","","","","","ND"
"2018-10-01 09:00","2018","10","01","09:00","0,7","","-2,3","","80","","","","","","24,1","","100,69","","","","","","ND"
"2018-10-01 10:00","2018","10","01","10:00","0,3","","-1,6","","87","","","","","","6,4","","100,76","","","","","","Neige"
"2018-10-01 11:00","2018","10","01","11:00","0,5","","-1,1","","89","","","","","","24,1","","100,81","","","","","","Neige"
"2018-10-01 12:00","2018","10","01","12:00","0,7","","-4,0","","71","","","","","","24,1","","100,87","","","","","","ND"
